field1,Name,NewCode,code,Groupping,Sweetness,L,A,B,Total_phenol,Total_Flavonoid,Antioxidant,caffeic_acid,Theobromine,K,Fe,Zn,Na,sucrose_maltose,fluctose_arabinise,Lactic_acid,Malic_acid,Propionic_acid,Quinic_acid,Apartic_acid,Serine,alanine,glycine,threonine,glutamic_acid,proline,histidine,arginine,leucine,phynylalanine
0,DC1,DC8001-1,F1,1,17.5,44.83,0.45,11.11,2.56,18.45,11.7,0.01,0.01,8366.91,32.28,17.34,56.77,47.28,4.23,0.09,3.09,0.04,3.92,119.05,104.17,203.3,13.49,26.27,410.72,48.4,26.76,136.15,52.01,61.76
1,DC1,DC8001-2,F1,1,17.5,44.83,0.45,11.11,2.56,18.45,11.7,0.01,0.01,8366.91,32.28,17.34,56.77,47.28,4.23,0.09,3.09,0.04,3.92,119.05,104.17,203.3,13.49,26.27,410.72,48.4,26.76,136.15,52.01,61.76
2,DC1,DC8001-3,F1,1,17.5,44.83,0.45,11.11,2.56,18.45,11.7,0.01,0.01,8366.91,32.28,17.34,56.77,47.28,4.23,0.09,3.09,0.04,3.92,119.05,104.17,203.3,13.49,26.27,410.72,48.4,26.76,136.15,52.01,61.76
3,DC1,DC8001-4,F1,1,17.5,44.83,0.45,11.11,2.56,18.45,11.7,0.01,0.01,8366.91,32.28,17.34,56.77,47.28,4.23,0.09,3.09,0.04,3.92,119.05,104.17,203.3,13.49,26.27,410.72,48.4,26.76,136.15,52.01,61.76
4,DC1,DC8001-5,F1,1,17.5,44.83,0.45,11.11,2.56,18.45,11.7,0.01,0.01,8366.91,32.28,17.34,56.77,47.28,4.23,0.09,3.09,0.04,3.92,119.05,104.17,203.3,13.49,26.27,410.72,48.4,26.76,136.15,52.01,61.76
5,DC1,DC8001-6,F1,1,17.5,44.83,0.45,11.11,2.56,18.45,11.7,0.01,0.01,8366.91,32.28,17.34,56.77,47.28,4.23,0.09,3.09,0.04,3.92,119.05,104.17,203.3,13.49,26.27,410.72,48.4,26.76,136.15,52.01,61.76
6,DC1,DC8001-7,F1,1,17.5,44.83,0.45,11.11,2.56,18.45,11.7,0.01,0.01,8366.91,32.28,17.34,56.77,47.28,4.23,0.09,3.09,0.04,3.92,119.05,104.17,203.3,13.49,26.27,410.72,48.4,26.76,136.15,52.01,61.76
7,DC1,DC8001-8,F1,1,17.5,44.83,0.45,11.11,2.56,18.45,11.7,0.01,0.01,8366.91,32.28,17.34,56.77,47.28,4.23,0.09,3.09,0.04,3.92,119.05,104.17,203.3,13.49,26.27,410.72,48.4,26.76,136.15,52.01,61.76
8,DC1,DC8001-9,F1,1,17.5,44.83,0.45,11.11,2.56,18.45,11.7,0.01,0.01,8366.91,32.28,17.34,56.77,47.28,4.23,0.09,3.09,0.04,3.92,119.05,104.17,203.3,13.49,26.27,410.72,48.4,26.76,136.15,52.01,61.76
9,DC1,DC8001-10,F1,1,17.5,44.83,0.45,11.11,2.56,18.45,11.7,0.01,0.01,8366.91,32.28,17.34,56.77,47.28,4.23,0.09,3.09,0.04,3.92,119.05,104.17,203.3,13.49,26.27,410.72,48.4,26.76,136.15,52.01,61.76
10,DC1,DC8001-11,F1,1,17.5,44.83,0.45,11.11,2.56,18.45,11.7,0.01,0.01,8366.91,32.28,17.34,56.77,47.28,4.23,0.09,3.09,0.04,3.92,119.05,104.17,203.3,13.49,26.27,410.72,48.4,26.76,136.15,52.01,61.76
11,DC1,DC8001-12,F1,1,17.5,44.83,0.45,11.11,2.56,18.45,11.7,0.01,0.01,8366.91,32.28,17.34,56.77,47.28,4.23,0.09,3.09,0.04,3.92,119.05,104.17,203.3,13.49,26.27,410.72,48.4,26.76,136.15,52.01,61.76
12,DC1,DC8001-13,F1,1,17.5,44.83,0.45,11.11,2.56,18.45,11.7,0.01,0.01,8366.91,32.28,17.34,56.77,47.28,4.23,0.09,3.09,0.04,3.92,119.05,104.17,203.3,13.49,26.27,410.72,48.4,26.76,136.15,52.01,61.76
